id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
107,"RN 00108",2012-07-31,2,77.5482,-37.8037,,165,16,0,,0104000020D70B00000100000001010000003AD201D1D9A8564129113E6598033441
253,"RN 00255",2012-07-31,2,77.546,-37.802,,130,16,0,,0104000020D70B0000010000000101000000ED7DAAC104A956410616CF88AD043441
852,"RN 00864",2013-10-27,2,77.5362,-37.8079,,140,16,0,,0104000020D70B00000100000001010000001D9019EB0BA85641EC8D1429FB073441
1109,"RN 01124",2014-06-04,2,77.5447,-37.8049,,160,16,0,,0104000020D70B00000100000001010000006DD299959EA85641C1A08D9EE0043441
1,"RN 00001",2012-07-31,2,77.5488,-37.8049,,170,16,0,,0104000020D70B0000010000000101000000A6A01B0DB6A856412802039237033441
2,"RN 00002",2012-07-31,2,77.5486,-37.805,1,170,16,0,,0104000020D70B00000A0000000101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B490334410101000000740BDDA3B1A856416F7E656B49033441
3,"RN 00003",2012-07-31,2,77.5494,-37.8053,,170,16,0,,0104000020D70B000001000000010100000093B61F6BACA856414772EFD3ED023441
4,"RN 00004",2012-07-31,2,77.5491,-37.8053,1,170,16,0,,0104000020D70B00000A0000000101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C0334410101000000BF12A4B3AAA856418ED4D5ED0C033441
5,"RN 00005",2012-07-31,2,77.5495,-37.8051,,170,16,0,,0104000020D70B000001000000010100000056651986B3A8564147CC063BE9023441
15,"RN 00015",2012-07-31,2,77.5491,-37.8053,,170,16,0,,0104000020D70B0000010000000101000000BF12A4B3AAA856418ED4D5ED0C033441
